Model,Cluster,Component,Feature,ConnectionInstance,Combined
aaspe security cwe main i,8,d d1 d2,d d,d dd d dd dd d dd d,d d1 d2 d d d dd d dd dd d dd d
aaspe security cwe main failure array,22,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security cwe main failure float,22,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security cwe main failure int,2,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security cwe main success array,2,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security cwe main success float,22,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security cwe main success int,22,s r,dataout datain,sdataout rdatain,s r dataout datain sdataout rdatain
aaspe security r0 main correct,20,b s r,mybus mybus,b smybus b rmybus smybus b rmybus b,b s r mybus mybus b smybus b rmybus smybus b rmybus b
aaspe security r0 main incorrect,20,b s r,mybus mybus,b smybus b rmybus smybus b rmybus b,b s r mybus mybus b smybus b rmybus smybus b rmybus b
aaspe security r0 main i,20,b s r,mybus mybus,b smybus b rmybus smybus b rmybus b,b s r mybus mybus b smybus b rmybus smybus b rmybus b
aaspe security r1 main correct,10,s r,outfeat infeat,soutfeat rinfeat,s r outfeat infeat soutfeat rinfeat
aaspe security r1 main incorrect,10,s r,outfeat infeat,soutfeat rinfeat,s r outfeat infeat soutfeat rinfeat
aaspe security r1 main i,10,s r,outfeat infeat,soutfeat rinfeat,s r outfeat infeat soutfeat rinfeat
aaspe security r5 main correct,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r5 main incorrect,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r5 main incorrect,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r5 main incorrect,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r5 main incorrect,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r5 main i,8,pr,f1 f2,,pr f1 f2 nan
aaspe security r6 main correct,20,b1 b2 s i r,mybus mybus mybus mybus,b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2,b1 b2 s i r mybus mybus mybus mybus b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2
aaspe security r6 main incorrect,20,b1 b2 s i r,mybus mybus mybus mybus,b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2,b1 b2 s i r mybus mybus mybus mybus b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2
aaspe security r6 main i,20,b1 b2 s i r,mybus mybus mybus mybus,b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2,b1 b2 s i r mybus mybus mybus mybus b1 smybus b1 imybus b2 imybus b2 rmybus smybus b1 imybus b1 imybus b2 rmybus b2
aaspe security r7 integration fail,22,thebus thebus sender intermediate receiver,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration fail,22,thebus thebus sender intermediate receiver http http,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver http http dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration fail,22,thebus thebus sender intermediate receiver http http,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver http http dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration i,22,thebus thebus sender intermediate receiver,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration success,22,thebus thebus sender intermediate receiver http ssl http ssl,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver http ssl http ssl dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration success,22,thebus thebus sender intermediate receiver ssl ssl,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver ssl ssl dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security r7 integration success,22,thebus thebus sender intermediate receiver,dataout datain dataout datain,senderdataout intermediatedatain intermediatedataout receiverdatain,thebus thebus sender intermediate receiver dataout datain dataout datain senderdataout intermediatedatain intermediatedataout receiverdatain
aaspe security timing requirement main correct,8,s r,e e,se re,s r e e se re
aaspe security timing requirement main incorrect,8,s r,e e,se re,s r e e se re
aaspe security timing requirement main i,8,s r,e e,se re,s r e e se re
aaspe sel bb serial main beaglebone,40,serial boo thr cpu runtime boo runtime serial,datain dataout datain dataout datain dataout uart mem serial mem,serialdataout boothrdatain boothrdataout serialdatain cpuuart mem runtime serialserial mem runtime serialserial mem cpuuart mem,serial boo thr cpu runtime boo runtime serial datain dataout datain dataout datain dataout uart mem serial mem serialdataout boothrdatain boothrdataout serialdatain cpuuart mem runtime serialserial mem runtime serialserial mem cpuuart mem
aaspe sel ping pong event ping beaglebone,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong event ping,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong event ping kzm,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong event ping x,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong ping beaglebone,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong ping,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong ping kzm,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
aaspe sel ping pong ping x,36,prod pinger con ping me cpu runtime prod runtime con,out port data source in port data sink,prodpingerdata source consping medata sink,prod pinger con ping me cpu runtime prod runtime con out port data source in port data sink prodpingerdata source consping medata sink
adiru adiru adiru,7,afdx network vl vl vl vl vl vl cdu temperature sensor rdc pitot static sensor rdc mem irmem adrmem module ir ir memory ir process ir thread cpu partition ir module adr adr memory irmem adrmem adr process adr thread cpu partition adr fmc,indicated aoa on off cdu ad on off cdu ir off cmd m1 disc output m2 disc output latitude longitude magnetic heading tot temp static air temp afdx access true airspeed tot pressure ground speed indicated aoa afdx access afdx access altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude in set longitude in set magnetic heading in m1 disc m2 disc altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude set longitude set magnetic heading th altitude th true airspeed th inertial altitude th inertial v th present po lat th present po long th ground speed th track angle true d th magnetic heading th wind speed d th wind direction true d th true heading d th body pitch acc th body roll acc th body yaw acc th set latitude th set longitude th set magnetic heading afdx access altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed sat impact pressure tot pressure corrected aoa discrete word discrete word present po lat in present po long in ground speed in track angle true d wind speed d,afdx network module irafdx access afdx network module adrafdx access afdx network pitot static sensor rdcafdx access afdx network temperature sensor rdcafdx access cdum disc output module irm disc cdulatitude module irir processir threadth set latitude cdulongitude module irir processir threadth set longitude cdumagnetic heading module irir processir threadth set magnetic heading temperature sensor rdctot temp module adradr processtat temperature sensor rdcstatic air temp module adrsat pitot static sensor rdctrue airspeed module adrtrue airspeed pitot static sensor rdctot pressure module adrtot pressure pitot static sensor rdcground speed module adrground speed pitot static sensor rdcindicated aoa module adrindicated aoa module irir processir threadth present po lat fmcpresent po lat in module irir processir threadth present po long fmcpresent po long in module irir processir threadth ground speed fmcground speed in module irir processir threadth track angle true d fmctrack angle true d module irir processir threadth wind speed d fmcwind speed d module adradr processadr threadaltitude module irir processir threadth altitude module adradr processadr threadindicated aoa cduindicated aoa module adradr processadr threadtrue airspeed module irir processir threadth true airspeed,afdx network vl vl vl vl vl vl cdu temperature sensor rdc pitot static sensor rdc mem irmem adrmem module ir ir memory ir process ir thread cpu partition ir module adr adr memory irmem adrmem adr process adr thread cpu partition adr fmc indicated aoa on off cdu ad on off cdu ir off cmd m1 disc output m2 disc output latitude longitude magnetic heading tot temp static air temp afdx access true airspeed tot pressure ground speed indicated aoa afdx access afdx access altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude in set longitude in set magnetic heading in m1 disc m2 disc altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude set longitude set magnetic heading th altitude th true airspeed th inertial altitude th inertial v th present po lat th present po long th ground speed th track angle true d th magnetic heading th wind speed d th wind direction true d th true heading d th body pitch acc th body roll acc th body yaw acc th set latitude th set longitude th set magnetic heading afdx access altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed sat impact pressure tot pressure corrected aoa discrete word discrete word present po lat in present po long in ground speed in track angle true d wind speed d afdx network module irafdx access afdx network module adrafdx access afdx network pitot static sensor rdcafdx access afdx network temperature sensor rdcafdx access cdum disc output module irm disc cdulatitude module irir processir threadth set latitude cdulongitude module irir processir threadth set longitude cdumagnetic heading module irir processir threadth set magnetic heading temperature sensor rdctot temp module adradr processtat temperature sensor rdcstatic air temp module adrsat pitot static sensor rdctrue airspeed module adrtrue airspeed pitot static sensor rdctot pressure module adrtot pressure pitot static sensor rdcground speed module adrground speed pitot static sensor rdcindicated aoa module adrindicated aoa module irir processir threadth present po lat fmcpresent po lat in module irir processir threadth present po long fmcpresent po long in module irir processir threadth ground speed fmcground speed in module irir processir threadth track angle true d fmctrack angle true d module irir processir threadth wind speed d fmcwind speed d module adradr processadr threadaltitude module irir processir threadth altitude module adradr processadr threadindicated aoa cduindicated aoa module adradr processadr threadtrue airspeed module irir processir threadth true airspeed
adiru subsystem adr system,4,adr memory irmem adrmem adr process adr thread cpu partition adr,afdx access altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed sat impact pressure tot pressure corrected aoa discrete word discrete word,tat adr processtat adr processground speed ground speed adr processadr threadaltitude altitude adr processadr threadmach mach adr processadr threadaltitude rate altitude rate adr processadr threadindicated aoa indicated aoa adr processadr threadbaro corr altitude baro corr altitude adr processadr threadbaro corr altitude baro corr altitude adr processadr threadcomputed air speed computed air speed adr processadr threadtrue airspeed true airspeed adr processadr threadsat sat adr processadr threadimpact pressure impact pressure adr processadr threadtot pressure tot pressure adr processadr threadcorrected aoa corrected aoa adr processadr threaddiscrete word discrete word adr processadr threaddiscrete word discrete word,adr memory irmem adrmem adr process adr thread cpu partition adr afdx access altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed ground speed sat impact pressure tot pressure corrected aoa discrete word discrete word altitude mach altitude rate tat indicated aoa baro corr altitude baro corr altitude computed air speed true airspeed sat impact pressure tot pressure corrected aoa discrete word discrete word tat adr processtat adr processground speed ground speed adr processadr threadaltitude altitude adr processadr threadmach mach adr processadr threadaltitude rate altitude rate adr processadr threadindicated aoa indicated aoa adr processadr threadbaro corr altitude baro corr altitude adr processadr threadbaro corr altitude baro corr altitude adr processadr threadcomputed air speed computed air speed adr processadr threadtrue airspeed true airspeed adr processadr threadsat sat adr processadr threadimpact pressure impact pressure adr processadr threadtot pressure tot pressure adr processadr threadcorrected aoa corrected aoa adr processadr threaddiscrete word discrete word adr processadr threaddiscrete word discrete word
adiru subsystem ir system,5,ir memory ir process ir thread cpu partition ir,afdx access altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude in set longitude in set magnetic heading in m1 disc m2 disc altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude set longitude set magnetic heading th altitude th true airspeed th inertial altitude th inertial v th present po lat th present po long th ground speed th track angle true d th magnetic heading th wind speed d th wind direction true d th true heading d th body pitch acc th body roll acc th body yaw acc th set latitude th set longitude th set magnetic heading,altitude in ir processir threadth altitude true airspeed in ir processir threadth true airspeed set latitude in ir processir threadth set latitude set longitude in ir processir threadth set longitude set magnetic heading in ir processir threadth set magnetic heading ir processir threadth inertial altitude inertial altitude out ir processir threadth inertial v inertial v out ir processir threadth present po lat present po lat out ir processir threadth present po long present po long out ir processir threadth ground speed ground speed out ir processir threadth track angle true d track angle true d ir processir threadth magnetic heading magnetic heading ir processir threadth wind speed d wind speed d ir processir threadth wind direction true d wind direction true d ir processir threadth true heading d true heading d ir processir threadth body pitch acc body pitch acc out ir processir threadth body roll acc body roll acc out ir processir threadth body yaw acc body yaw acc out,ir memory ir process ir thread cpu partition ir afdx access altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude in set longitude in set magnetic heading in m1 disc m2 disc altitude in true airspeed in inertial altitude out inertial v out present po lat out present po long out ground speed out track angle true d magnetic heading wind speed d wind direction true d true heading d body pitch acc out body roll acc out body yaw acc out set latitude set longitude set magnetic heading th altitude th true airspeed th inertial altitude th inertial v th present po lat th present po long th ground speed th track angle true d th magnetic heading th wind speed d th wind direction true d th true heading d th body pitch acc th body roll acc th body yaw acc th set latitude th set longitude th set magnetic heading altitude in ir processir threadth altitude true airspeed in ir processir threadth true airspeed set latitude in ir processir threadth set latitude set longitude in ir processir threadth set longitude set magnetic heading in ir processir threadth set magnetic heading ir processir threadth inertial altitude inertial altitude out ir processir threadth inertial v inertial v out ir processir threadth present po lat present po lat out ir processir threadth present po long present po long out ir processir threadth ground speed ground speed out ir processir threadth track angle true d track angle true d ir processir threadth magnetic heading magnetic heading ir processir threadth wind speed d wind speed d ir processir threadth wind direction true d wind direction true d ir processir threadth true heading d true heading d ir processir threadth body pitch acc body pitch acc out ir processir threadth body roll acc body roll acc out ir processir threadth body yaw acc body yaw acc out
aircraft aircraft functional aircraft functional model,18,sys stability pitch sys spoiler sys thrust management sys forward thrust,isfailing isfailing isfailing isfailing isfailing,,sys stability pitch sys spoiler sys thrust management sys forward thrust isfailing isfailing isfailing isfailing isfailing nan
air ex s i,9,p pt q qt,pout ptout qin qtin,pptptout qqtqtin,p pt q qt pout ptout qin qtin pptptout qqtqtin
air ex s i,9,p ptout ptin q qt r rt,sin sin sout sout pin pout pout unconnectedout pout ptoutin ptoutout ptinin ptinout ptinout qin qin qout qout qtin qtout rin rin rin rin rout rout rtin rtout,ptoutptoutout ptinptinin ptinptinout ptoutptoutin sin qqtqtin sin qqin pptoutptoutout qqtqtin pptoutptoutout rrtrtin pptinptinout rrtrtin pptinptinout rrin qqout rrin qqtqtout rrtrtin rrout sout rrtrtout sout,p ptout ptin q qt r rt sin sin sout sout pin pout pout unconnectedout pout ptoutin ptoutout ptinin ptinout ptinout qin qin qout qout qtin qtout rin rin rin rin rout rout rtin rtout ptoutptoutout ptinptinin ptinptinout ptoutptoutin sin qqtqtin sin qqin pptoutptoutout qqtqtin pptoutptoutout rrtrtin pptinptinout rrtrtin pptinptinout rrin qqout rrin qqtqtout rrtrtin rrout sout rrtrtout sout
air ex wrapper i,9,s p ptout ptin q qt r rt t,sin sin sout sout pin pout pout unconnectedout pout ptoutin ptoutout ptinin ptinout ptinout qin qin qout qout qtin qtout rin rin rin rin rout rout rtin rtout tin,ptoutptoutout ptinptinin ptinptinout ptoutptoutin pptoutptoutout qqtqtin pptoutptoutout rrtrtin pptinptinout rrtrtin pptinptinout rrin qqout rrin qqtqtout rrtrtin ssout ttin,s p ptout ptin q qt r rt t sin sin sout sout pin pout pout unconnectedout pout ptoutin ptoutout ptinin ptinout ptinout qin qin qout qout qtin qtout rin rin rin rin rout rout rtin rtout tin ptoutptoutout ptinptinin ptinptinout ptoutptoutin pptoutptoutout qqtqtin pptoutptoutout rrtrtin pptinptinout rrtrtin pptinptinout rrin qqout rrin qqtqtout rrtrtin ssout ttin
air ex a i,9,ap at,asout apout atout,apatatout asout,ap at asout apout atout apatatout asout
air ex b i,9,bp bt,bsin bpin btin,bsin bpbtbtin,bp bt bsin bpin btin bsin bpbtbtin
air ex wrapper i,9,a ap at b bp bt,asout apout atout bsin bpin btin,asapatatout bsbpbtbtin,a ap at b bp bt asout apout atout bsin bpin btin asapatatout bsbpbtbtin
alisa response time simple system computation chain,3,first process second process,datain dataout datain dataout datain dataout,datain first processdatain first processdataout second processdatain second processdataout dataout,first process second process datain dataout datain dataout datain dataout datain first processdatain first processdataout second processdatain second processdataout dataout
an model of smart home system client client,9,client control unit,in client mcr out client mcr in client r out client r ccu data receiver ccu data sender,in client mcr client control unitccu data receiver in client r client control unitccu data receiver client control unitccu data sender out client mcr client control unitccu data sender out client r,client control unit in client mcr out client mcr in client r out client r ccu data receiver ccu data sender in client mcr client control unitccu data receiver in client r client control unitccu data receiver client control unitccu data sender out client mcr client control unitccu data sender out client r
an model of smart home system maincontrolrouter maincontrolrouter,9,zigbee device controller ip device controller remote msg control main controller,temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd dev data receiver dev data sender ctr data receiver ctr data sender dev data receiver dev data sender ctr data receiver ctr data sender app data receiver app data sender ctr data receiver ctr data sender zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender,in mcr remote remote msg controlapp data receiver in mcr zd zigbee device controllerdev data receiver in mcr ipd ip device controllerdev data receiver zigbee device controllerdev data sender out mcr zd zigbee device controllerctr data sender main controllerzdc data receiver ip device controllerdev data sender out mcr ipd ip device controllerctr data sender main controlleripdc data receiver remote msg controlapp data sender out mcr remote remote msg controlctr data sender main controllerremote data receiver main controllerzdc data sender zigbee device controllerctr data receiver main controlleripdc data sender ip device controllerctr data receiver main controllerremote data sender remote msg controlctr data receiver,zigbee device controller ip device controller remote msg control main controller temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd dev data receiver dev data sender ctr data receiver ctr data sender dev data receiver dev data sender ctr data receiver ctr data sender app data receiver app data sender ctr data receiver ctr data sender zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender in mcr remote remote msg controlapp data receiver in mcr zd zigbee device controllerdev data receiver in mcr ipd ip device controllerdev data receiver zigbee device controllerdev data sender out mcr zd zigbee device controllerctr data sender main controllerzdc data receiver ip device controllerdev data sender out mcr ipd ip device controllerctr data sender main controlleripdc data receiver remote msg controlapp data sender out mcr remote remote msg controlctr data sender main controllerremote data receiver main controllerzdc data sender zigbee device controllerctr data receiver main controlleripdc data sender ip device controllerctr data receiver main controllerremote data sender remote msg controlctr data receiver
an model of smart home system remoteserver remoteserver,9,client controller router controller,in r mcr out r mcr in r client out r client cc data receiver cc data sender rc data receiver rc data sender,in r mcr router controllerrc data receiver in r client client controllercc data receiver client controllercc data sender out r client router controllerrc data sender out r mcr,client controller router controller in r mcr out r mcr in r client out r client cc data receiver cc data sender rc data receiver rc data sender in r mcr router controllerrc data receiver in r client client controllercc data receiver client controllercc data sender out r client router controllerrc data sender out r mcr
an model of smart home system smart home system smart home,9,zigbee device ip device main control router zigbee device controller ip device controller remote msg control main controller remote server client controller router controller client client control unit,sensing out zd mcr in ipd mcr out ipd mcr temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd dev data receiver dev data sender ctr data receiver ctr data sender dev data receiver dev data sender ctr data receiver ctr data sender app data receiver app data sender ctr data receiver ctr data sender zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender in r mcr out r mcr in r client out r client cc data receiver cc data sender rc data receiver rc data sender in client mcr out client mcr in client r out client r ccu data receiver ccu data sender,zigbee device controllerctr data sender main controllerzdc data receiver ip device controllerctr data sender main controlleripdc data receiver remote msg controlctr data sender main controllerremote data receiver main controllerzdc data sender zigbee device controllerctr data receiver main controlleripdc data sender ip device controllerctr data receiver main controllerremote data sender remote msg controlctr data receiver zigbee devicesout zd mcr main control routerzigbee device controllerdev data receiver ip devicesout ipd mcr main control routerip device controllerdev data receiver main control routerzigbee device controllerdev data sender zigbee devicessensing main control routerip device controllerdev data sender ip devicesin ipd mcr main control routerremote msg controlapp data sender remote serverrouter controllerrc data receiver main control routerremote msg controlapp data sender clientsclient control unitccu data receiver remote serverclient controllercc data sender clientsclient control unitccu data receiver remote serverrouter controllerrc data sender main control routerremote msg controlapp data receiver clientsclient control unitccu data sender main control routerremote msg controlapp data receiver clientsclient control unitccu data sender remote serverclient controllercc data receiver,zigbee device ip device main control router zigbee device controller ip device controller remote msg control main controller remote server client controller router controller client client control unit sensing out zd mcr in ipd mcr out ipd mcr temperature in smoke status out in mcr remote out mcr remote in mcr zd out mcr zd in mcr ipd out mcr ipd dev data receiver dev data sender ctr data receiver ctr data sender dev data receiver dev data sender ctr data receiver ctr data sender app data receiver app data sender ctr data receiver ctr data sender zdc data receiver zdc data sender ipdc data receiver ipdc data sender remote data receiver remote data sender in r mcr out r mcr in r client out r client cc data receiver cc data sender rc data receiver rc data sender in client mcr out client mcr in client r out client r ccu data receiver ccu data sender zigbee device controllerctr data sender main controllerzdc data receiver ip device controllerctr data sender main controlleripdc data receiver remote msg controlctr data sender main controllerremote data receiver main controllerzdc data sender zigbee device controllerctr data receiver main controlleripdc data sender ip device controllerctr data receiver main controllerremote data sender remote msg controlctr data receiver zigbee devicesout zd mcr main control routerzigbee device controllerdev data receiver ip devicesout ipd mcr main control routerip device controllerdev data receiver main control routerzigbee device controllerdev data sender zigbee devicessensing main control routerip device controllerdev data sender ip devicesin ipd mcr main control routerremote msg controlapp data sender remote serverrouter controllerrc data receiver main control routerremote msg controlapp data sender clientsclient control unitccu data receiver remote serverclient controllercc data sender clientsclient control unitccu data receiver remote serverrouter controllerrc data sender main control routerremote msg controlapp data receiver clientsclient control unitccu data sender main control routerremote msg controlapp data receiver clientsclient control unitccu data sender remote serverclient controllercc data receiver
aps communication architecture aidstonavigation aidstonavigation,4,rtkbasestation gnsstransmitter,uhfpositioncorrection gnsssignal correctiondata gnssdata,rtkbasestationcorrectiondata uhfpositioncorrection,rtkbasestation gnsstransmitter uhfpositioncorrection gnsssignal correctiondata gnssdata rtkbasestationcorrectiondata uhfpositioncorrection
